feeStructureGradeId,name,type,amount
grade-1,tuition,tuition,25000
grade-1,library,library,1500
grade-1,lab,lab,2000
grade-2,tuition,tuition,26000
grade-2,library,library,1750
grade-2,lab,lab,2500
grade-3,tuition,tuition,27000
grade-3,library,library,2000
grade-3,lab,lab,3000
grade-4,tuition,tuition,28000
grade-4,library,library,1500
grade-4,lab,lab,3500
grade-5,tuition,tuition,29000
grade-5,library,library,1750
grade-5,lab,lab,2000
grade-6,tuition,tuition,25000
grade-6,library,library,2000
grade-6,lab,lab,2500
grade-7,tuition,tuition,26000
grade-7,library,library,1500
grade-7,lab,lab,3000
grade-8,tuition,tuition,27000
grade-8,library,library,1750
grade-8,lab,lab,3500
grade-9,tuition,tuition,28000
grade-9,library,library,2000
grade-9,lab,lab,2000
grade-10,tuition,tuition,29000
grade-10,library,library,1500
grade-10,lab,lab,2500
grade-11,tuition,tuition,25000
grade-11,library,library,1750
grade-11,lab,lab,3000
grade-12,tuition,tuition,26000
grade-12,library,library,2000
grade-12,lab,lab,3500
grade-1,tuition,tuition,27000
grade-1,library,library,1500
grade-1,lab,lab,2000
grade-2,tuition,tuition,28000
grade-2,library,library,1750
grade-2,lab,lab,2500
grade-3,tuition,tuition,29000
grade-3,library,library,2000
grade-3,lab,lab,3000
grade-4,tuition,tuition,25000
grade-4,library,library,1500
grade-4,lab,lab,3500
grade-5,tuition,tuition,26000
grade-5,library,library,1750
grade-5,lab,lab,2000
grade-6,tuition,tuition,27000
grade-6,library,library,2000
grade-6,lab,lab,2500
grade-7,tuition,tuition,28000
grade-7,library,library,1500
grade-7,lab,lab,3000
grade-8,tuition,tuition,29000
grade-8,library,library,1750
grade-8,lab,lab,3500
grade-9,tuition,tuition,25000
grade-9,library,library,2000
grade-9,lab,lab,2000
grade-10,tuition,tuition,26000
grade-10,library,library,1500
grade-10,lab,lab,2500
grade-11,tuition,tuition,27000
grade-11,library,library,1750
grade-11,lab,lab,3000
grade-12,tuition,tuition,28000
grade-12,library,library,2000
grade-12,lab,lab,3500
grade-1,tuition,tuition,29000
grade-1,library,library,1500
grade-1,lab,lab,2000
grade-2,tuition,tuition,25000
grade-2,library,library,1750
grade-2,lab,lab,2500
grade-3,tuition,tuition,26000
grade-3,library,library,2000
grade-3,lab,lab,3000
grade-4,tuition,tuition,27000
grade-4,library,library,1500
grade-4,lab,lab,3500
grade-5,tuition,tuition,28000
grade-5,library,library,1750
grade-5,lab,lab,2000
grade-6,tuition,tuition,29000
grade-6,library,library,2000
grade-6,lab,lab,2500
grade-7,tuition,tuition,25000
grade-7,library,library,1500
grade-7,lab,lab,3000
grade-8,tuition,tuition,26000
grade-8,library,library,1750
grade-8,lab,lab,3500
grade-9,tuition,tuition,27000
grade-9,library,library,2000
grade-9,lab,lab,2000
grade-10,tuition,tuition,28000
grade-10,library,library,1500
grade-10,lab,lab,2500
grade-11,tuition,tuition,29000
grade-11,library,library,1750
grade-11,lab,lab,3000
grade-12,tuition,tuition,25000
grade-12,library,library,2000
grade-12,lab,lab,3500
grade-1,tuition,tuition,26000
grade-1,library,library,1500
grade-1,lab,lab,2000
grade-2,tuition,tuition,27000
grade-2,library,library,1750
grade-2,lab,lab,2500
grade-3,tuition,tuition,28000
grade-3,library,library,2000
grade-3,lab,lab,3000
grade-4,tuition,tuition,29000
grade-4,library,library,1500
grade-4,lab,lab,3500
grade-5,tuition,tuition,25000
grade-5,library,library,1750
grade-5,lab,lab,2000
grade-6,tuition,tuition,26000
grade-6,library,library,2000
grade-6,lab,lab,2500
grade-7,tuition,tuition,27000
grade-7,library,library,1500
grade-7,lab,lab,3000
grade-8,tuition,tuition,28000
grade-8,library,library,1750
grade-8,lab,lab,3500
grade-9,tuition,tuition,29000
grade-9,library,library,2000
grade-9,lab,lab,2000
grade-10,tuition,tuition,25000
grade-10,library,library,1500
grade-10,lab,lab,2500
grade-11,tuition,tuition,26000
grade-11,library,library,1750
grade-11,lab,lab,3000
grade-12,tuition,tuition,27000
grade-12,library,library,2000
grade-12,lab,lab,3500
grade-1,tuition,tuition,28000
grade-1,library,library,1500
grade-1,lab,lab,2000
grade-2,tuition,tuition,29000
grade-2,library,library,1750
grade-2,lab,lab,2500
grade-3,tuition,tuition,25000
grade-3,library,library,2000
grade-3,lab,lab,3000
grade-4,tuition,tuition,26000
grade-4,library,library,1500
grade-4,lab,lab,3500
grade-5,tuition,tuition,27000
grade-5,library,library,1750
grade-5,lab,lab,2000
grade-6,tuition,tuition,28000
grade-6,library,library,2000
grade-6,lab,lab,2500
grade-7,tuition,tuition,29000
grade-7,library,library,1500
grade-7,lab,lab,3000
grade-8,tuition,tuition,25000
grade-8,library,library,1750
grade-8,lab,lab,3500
grade-9,tuition,tuition,26000
grade-9,library,library,2000
grade-9,lab,lab,2000
grade-10,tuition,tuition,27000
grade-10,library,library,1500
grade-10,lab,lab,2500
grade-11,tuition,tuition,28000
grade-11,library,library,1750
grade-11,lab,lab,3000
grade-12,tuition,tuition,29000
grade-12,library,library,2000
grade-12,lab,lab,3500
grade-1,tuition,tuition,25000
grade-1,library,library,1500
grade-1,lab,lab,2000
grade-2,tuition,tuition,26000
grade-2,library,library,1750
grade-2,lab,lab,2500
grade-3,tuition,tuition,27000
grade-3,library,library,2000
grade-3,lab,lab,3000
grade-4,tuition,tuition,28000
grade-4,library,library,1500
grade-4,lab,lab,3500
grade-5,tuition,tuition,29000
grade-5,library,library,1750
grade-5,lab,lab,2000
grade-6,tuition,tuition,25000
grade-6,library,library,2000
grade-6,lab,lab,2500
grade-7,tuition,tuition,26000
grade-7,library,library,1500
grade-7,lab,lab,3000
grade-8,tuition,tuition,27000
grade-8,library,library,1750
grade-8,lab,lab,3500
grade-9,tuition,tuition,28000
grade-9,library,library,2000
grade-9,lab,lab,2000
grade-10,tuition,tuition,29000
grade-10,library,library,1500
grade-10,lab,lab,2500
grade-11,tuition,tuition,25000
grade-11,library,library,1750
grade-11,lab,lab,3000
grade-12,tuition,tuition,26000
grade-12,library,library,2000
grade-12,lab,lab,3500
grade-1,tuition,tuition,27000
grade-1,library,library,1500
grade-1,lab,lab,2000
grade-2,tuition,tuition,28000
grade-2,library,library,1750
grade-2,lab,lab,2500
grade-3,tuition,tuition,29000
grade-3,library,library,2000
grade-3,lab,lab,3000
grade-4,tuition,tuition,25000
grade-4,library,library,1500
grade-4,lab,lab,3500
grade-5,tuition,tuition,26000
grade-5,library,library,1750
grade-5,lab,lab,2000
grade-6,tuition,tuition,27000
grade-6,library,library,2000
grade-6,lab,lab,2500
grade-7,tuition,tuition,28000
grade-7,library,library,1500
grade-7,lab,lab,3000
grade-8,tuition,tuition,29000
grade-8,library,library,1750
grade-8,lab,lab,3500
grade-9,tuition,tuition,25000
grade-9,library,library,2000
grade-9,lab,lab,2000
grade-10,tuition,tuition,26000
grade-10,library,library,1500
grade-10,lab,lab,2500
grade-11,tuition,tuition,27000
grade-11,library,library,1750
grade-11,lab,lab,3000
grade-12,tuition,tuition,28000
grade-12,library,library,2000
grade-12,lab,lab,3500
grade-1,tuition,tuition,29000
grade-1,library,library,1500
grade-1,lab,lab,2000
grade-2,tuition,tuition,25000
grade-2,library,library,1750
grade-2,lab,lab,2500
grade-3,tuition,tuition,26000
grade-3,library,library,2000
grade-3,lab,lab,3000
grade-4,tuition,tuition,27000
grade-4,library,library,1500
grade-4,lab,lab,3500
grade-5,tuition,tuition,28000
grade-5,library,library,1750
grade-5,lab,lab,2000
grade-6,tuition,tuition,29000
grade-6,library,library,2000
grade-6,lab,lab,2500
grade-7,tuition,tuition,25000
grade-7,library,library,1500
grade-7,lab,lab,3000
grade-8,tuition,tuition,26000
grade-8,library,library,1750
grade-8,lab,lab,3500
grade-9,tuition,tuition,27000
grade-9,library,library,2000
grade-9,lab,lab,2000
grade-10,tuition,tuition,28000
grade-10,library,library,1500
grade-10,lab,lab,2500
grade-11,tuition,tuition,29000
grade-11,library,library,1750
grade-11,lab,lab,3000
grade-12,tuition,tuition,25000
grade-12,library,library,2000
grade-12,lab,lab,3500
grade-1,tuition,tuition,26000
grade-1,library,library,1500
grade-1,lab,lab,2000
grade-2,tuition,tuition,27000
grade-2,library,library,1750
grade-2,lab,lab,2500
grade-3,tuition,tuition,28000
grade-3,library,library,2000
grade-3,lab,lab,3000
grade-4,tuition,tuition,29000
grade-4,library,library,1500
grade-4,lab,lab,3500
